time,wx,wy,wz
0.0008921623229980469,-0.08,0.01,0.03
0.009931087493896484,-0.01,-0.03,0.01
0.019340991973876953,0.06,-0.09,-0.0
0.03219318389892578,0.11,-0.11,0.0
0.039449214935302734,0.13,-0.13,0.0
0.04956507682800293,0.12,-0.12,0.0
0.06043410301208496,0.09,-0.1,-0.0
0.06932926177978516,0.04,-0.07,-0.01
0.07902193069458008,-0.01,-0.05,-0.0
0.08916997909545898,-0.05,-0.02,-0.0
0.09932518005371094,-0.07,-0.01,-0.01
0.10913705825805664,-0.07,-0.0,-0.01
0.11887693405151367,-0.06,0.01,-0.01
0.12876415252685547,-0.04,0.01,-0.01
0.1389000415802002,-0.02,-0.0,-0.0
0.14873218536376953,-0.0,-0.01,0.0
0.15889501571655273,0.01,-0.02,-0.0
0.1685011386871338,0.02,-0.02,-0.01
0.17833614349365234,0.02,-0.02,-0.02
0.18823003768920898,0.02,-0.01,-0.02
0.19838619232177734,0.03,0.0,-0.03
0.2081151008605957,0.03,0.01,-0.03
0.21772193908691406,0.03,0.01,-0.03
0.2281169891357422,0.04,0.02,-0.04
0.2376871109008789,0.07,0.02,-0.04
0.24765706062316895,0.09,0.01,-0.04
0.2577810287475586,0.1,-0.01,-0.04
0.2676360607147217,0.13,-0.03,-0.05
0.27768993377685547,0.14,-0.04,-0.06
0.28726720809936523,0.14,-0.05,-0.06
0.2972240447998047,0.15,-0.04,-0.07
0.30710601806640625,0.15,-0.03,-0.07
0.3171420097351074,0.15,-0.01,-0.08
0.32711124420166016,0.12,0.01,-0.08
0.3367500305175781,0.08,0.03,-0.08
0.3468501567840576,0.04,0.02,-0.08
0.35688114166259766,0.0,0.01,-0.07
0.3669929504394531,-0.02,0.02,-0.06
0.37845611572265625,-0.03,0.03,-0.06
0.38648104667663574,-0.04,0.03,-0.06
0.3964061737060547,-0.03,0.03,-0.06
0.4063272476196289,-0.02,0.05,-0.05
0.4165191650390625,-0.02,0.1,-0.04
0.42660093307495117,-0.05,0.15,-0.03
0.43657827377319336,-0.09,0.19,-0.02
0.4464740753173828,-0.14,0.21,-0.03
